Fid,Trans_Date,CC_No,CC_type,Trans_Type,Amount,Firstname,Lastname,Gender,Age,lat,lon,Transid,Label,results
175.100.207.233-10.42.0.151-80-52178-6,28-08-21,6010000000000000.0,Dynamic Currency Conversion,entertainment,1659.775075,Gary,Barnes,Male,70,33.3398,-92.7442,525000,0,0
172.217.11.35-10.42.0.151-443-55705-6,20-01-21,676000000000.0,Dynamic Currency Conversion,health_fitness,86.329554,Vicki,Mendoza,Female,59,39.7562,-98.4462,475000,1,1
10.42.0.211-54.187.229.83-59667-443-6,17-05-21,30400000000000.0,Single Currency Card,shopping_net,1425.426525,Samuel,Sandoval,Male,39,35.8896,-96.0887,250000,0,0
172.217.12.174-10.42.0.151-80-58451-6,25-07-22,574000000000.0,EaseMyTrip,food_dining,1657.002877,Cristian,Jones,Male,74,42.0765,-87.7246,220000,1,1
10.42.0.151-52.84.61.117-37384-80-6,25-01-21,4.65e+18,First Wealth Credit Card ,health_fitness,163.005536,Robert,Hall,Male,62,36.7779,-81.7676,230000,1,1
10.42.0.211-10.42.0.1-49892-53-17,11-09-21,3530000000000000.0,Elite Credit Card,kids_pets,971.183209,Lauren,Moreno,Female,66,39.224000000000004,-74.9942,385500,0,0
203.205.158.63-10.42.0.211-80-35397-6,30-05-22,4.77e+18,Dynamic Currency Conversion,food_dining,164.748819,Andrea,Cruz,Female,52,40.5553,-77.4001,895000,1,1
172.217.10.100-10.42.0.151-443-43696-6,01-05-21,4190000000000.0,Single Currency Card,shopping_net,1648.851345,Jason,Farmer,Male,59,33.7367,-86.1619,368250,0,0
216.58.219.202-10.42.0.151-443-38263-6,25-06-22,345000000000000.0,EaseMyTrip,health_fitness,159.684442,Joanna,Hudson,Female,61,27.4703,-81.4872,249900,0,0
10.42.0.1-10.42.0.42-53-37912-17,03-07-21,4130000000000000.0,Dynamic Currency Conversion,personal_care,3292.01503,Kyle,Park,Male,66,39.8788,-82.18799999999999,350000,1,1
198.11.132.221-10.42.0.211-443-39949-6,16-04-21,343000000000000.0,EaseMyTrip,home,256.848991,Kayla,Jones,Female,62,42.0158,-73.2913,175000,1,1
174.35.73.98-10.42.0.211-80-56288-6,12-11-22,4030000000000.0,Dynamic Currency Conversion,home,2506.745366,Debbie,Payne,Female,45,41.5224,-71.9934,270000,0,0
10.42.0.151-10.42.0.1-28061-53-17,27-03-21,6510000000000000.0,Single Currency Card,shopping_pos,196.301885,Kimberly,Rice,Female,62,32.2768,-95.3031,495000,1,1
10.42.0.211-10.42.0.1-10099-53-17,03-10-22,4720000000000000.0,EaseMyTrip,shopping_net,17862.55831,Lauren,Anderson,Female,69,48.2777,-112.8456,1580000,0,0
172.217.6.238-10.42.0.211-80-56014-6,13-08-21,4510000000000000.0,Dynamic Currency Conversion,food_dining,634.5693110000001,Margaret,Williams,Female,64,31.6489,-82.1982,542500,1,1
10.42.0.211-119.146.74.31-36824-443-6,01-01-22,4940000000000000.0,Single Currency Card,kids_pets,1986.843608,Michelle,Johnston,Female,1,26.4215,-99.0025,330000,0,0
10.42.0.211-10.42.0.1-21114-53-17,25-02-23,6600000000000000.0,EaseMyTrip,personal_care,1541.141605,Spencer,Williams,Male,81,44.9595,-93.8482,1003000,1,1
180.149.136.194-10.42.0.151-80-54069-6,19-01-23,4380000000000000.0,First Wealth Credit Card ,home,2049.408839,Nicholas,Mcmahon,Male,65,36.115,-84.0438,299800,0,0
10.42.0.151-10.42.0.1-46232-53-17,17-01-22,4150000000000.0,Elite Credit Card,home,719.948985,Samuel,Farrell,Male,70,33.9778,-86.5598,299900,0,0
172.217.10.42-10.42.0.211-443-42066-6,13-01-23,4.3e+18,Dynamic Currency Conversion,food_dining,283.33344500000004,Joe,Howard,Male,65,40.6025,-80.3863,691000,0,0
172.217.12.194-10.42.0.211-443-48689-6,23-03-22,2720000000000000.0,Single Currency Card,misc_net,363.142736,Mark,Wood,Male,74,44.0575,-69.9656,195000,0,0
158.85.48.236-10.42.0.211-5222-44414-6,29-04-22,36900000000000.0,EaseMyTrip,food_dining,1801.264841,Ana,Mccormick,Female,54,43.6498,-116.4306,405000,0,0
222.73.28.96-10.42.0.42-80-56164-6,09-06-22,3600000000000000.0,Dynamic Currency Conversion,food_dining,321.35413700000004,David,Everett,Male,68,41.0001,-78.2357,360000,1,1
172.217.11.42-10.42.0.211-443-60899-6,02-12-21,4.4e+18,Dynamic Currency Conversion,entertainment,1318.71492,Marissa,Powell,Female,60,41.4972,-98.7858,256750,1,1
172.217.12.162-10.42.0.151-443-58890-6,19-10-22,213000000000000.0,Single Currency Card,health_fitness,312.343947,Thomas,Sullivan,Male,77,42.9676,-88.0434,332500,0,0
172.217.11.14-10.42.0.151-443-58035-6,15-10-21,380000000000000.0,EaseMyTrip,health_fitness,147.199792,Frank,Key,Male,33,38.3039,-85.4834,975000,0,0
10.42.0.211-115.239.210.141-37667-443-6,14-05-21,345000000000000.0,First Wealth Credit Card ,health_fitness,312.343947,Justin,Fowler,Male,84,33.9215,-89.6782,218000,0,0
10.42.0.211-69.147.82.61-50626-443-6,04-10-21,4.31e+18,Elite Credit Card,kids_pets,175.657825,Julian,Price,Male,72,39.3764,-76.729,429000,1,1
10.42.0.42-66.102.255.60-42905-80-6,07-03-22,4380000000000.0,EaseMyTrip,shopping_pos,286.448719,John,Robertson,Male,56,39.9347,-86.1633,589000,1,1
10.42.0.211-10.42.0.1-4887-53-17,05-10-21,676000000000.0,Dynamic Currency Conversion,kids_pets,1012.4159609999999,Alicia,Bishop,Female,66,30.8836,-84.3246,255000,1,1
172.217.6.234-10.42.0.211-443-47699-6,08-09-21,38900000000000.0,Single Currency Card,misc_pos,1322.4466009999999,Lori,Rodriguez,Female,62,39.3543,-82.50299999999999,668750,1,1
197.1.68.31-10.42.0.211-56889-60774-17,25-03-21,4.81e+18,EaseMyTrip,shopping_net,581.481917,Julie,Sanchez,Female,70,39.5756,-83.7153,344500,1,1
198.255.26.59-10.42.0.211-80-58232-6,06-12-22,3520000000000000.0,Dynamic Currency Conversion,food_dining,132.446091,Ashley,Cabrera,Female,62,27.633000000000003,-80.4031,452000,0,0
182.22.65.138-10.42.0.151-443-35530-6,14-11-21,30400000000000.0,Single Currency Card,personal_care,312.343947,Linda,Sanchez,Female,54,41.5744,-75.5881,540000,1,1
172.217.10.8-10.42.0.42-443-42666-6,01-06-22,3590000000000000.0,EaseMyTrip,shopping_pos,312.343947,Paula,Estrada,Female,75,43.7557,-97.5936,246000,0,0
10.42.0.211-10.42.0.1-64117-53-17,29-09-22,371000000000000.0,First Wealth Credit Card ,kids_pets,312.343947,Stacy,Lambert,Female,68,38.9311,-89.2463,535000,0,0
10.42.0.211-104.88.81.138-51102-443-6,07-01-22,6010000000000000.0,Elite Credit Card,misc_pos,1311.514878,Johnny,Bennett,Male,55,40.9115,-74.414,970000,0,0
10.42.0.42-104.244.43.163-59107-443-6,28-03-22,3530000000000000.0,Dynamic Currency Conversion,home,1600.212243,Scott,Fuller,Male,56,36.0424,-79.3242,430000,1,1
10.42.0.42-47.55.177.238-39280-123-17,28-07-21,2720000000000000.0,Single Currency Card,shopping_pos,1895.0261699999999,Melissa,Aguilar,Female,81,36.522,-87.34899999999999,520000,0,0
10.42.0.151-112.80.248.187-40189-80-6,02-11-22,180000000000000.0,EaseMyTrip,personal_care,548.1058360000001,Charles,Robles,Male,62,27.7898,-82.7243,712000,1,1
172.217.12.136-10.42.0.211-443-41190-6,16-01-23,5000000000000000.0,Dynamic Currency Conversion,travel,837.215674,Mary,Pruitt,Female,59,38.9621,-94.5959,450000,0,0
172.217.3.110-10.42.0.151-443-52416-6,02-11-22,4.99e+18,Dynamic Currency Conversion,food_dining,241.645387,Vanessa,Anderson,Female,59,34.1832,-81.5324,220000,1,1
180.149.135.239-10.42.0.211-80-53259-6,07-08-22,345000000000000.0,Single Currency Card,shopping_net,312.343947,Joanna,Hudson,Female,62,27.4703,-81.4872,525000,0,0
216.58.219.206-10.42.0.42-443-37608-6,07-05-21,30400000000000.0,EaseMyTrip,shopping_pos,3266.996777,Linda,Sanchez,Female,63,41.5744,-75.5881,1220000,1,1
10.42.0.151-104.69.158.16-50875-443-6,14-02-23,4730000000000000.0,First Wealth Credit Card ,kids_pets,897.905444,Alex,White,Male,74,41.1437,-72.2879,540000,1,1
172.217.11.10-10.42.0.151-443-52623-6,27-01-22,5150000000000000.0,Elite Credit Card,shopping_net,179.41249299999998,Jim,Johnson,Male,84,29.8872,-90.0331,600000,0,0
203.205.158.52-10.42.0.151-80-36149-6,28-04-21,3500000000000000.0,Dynamic Currency Conversion,kids_pets,352.883804,Kathleen,Martin,Female,50,30.5354,-95.4532,600000,1,1
10.42.0.211-64.71.142.95-58668-443-6,15-12-21,4990000000000.0,Single Currency Card,food_dining,1001.6073660000001,Martin,Ford,Male,61,39.6967,-78.8031,625000,0,0
172.217.12.197-10.42.0.42-443-49469-6,21-11-22,6540000000000000.0,EaseMyTrip,shopping_pos,923.505868,John,Myers,Male,68,41.55,-87.4569,150000,0,0
172.217.10.138-10.42.0.211-443-44262-6,01-09-21,3560000000000000.0,Dynamic Currency Conversion,entertainment,2180.881868,Allen,Bell,Male,42,42.2701,-78.6847,389999,1,1
182.22.24.124-10.42.0.211-443-53955-6,28-02-21,2240000000000000.0,Single Currency Card,personal_care,1107.0308029999999,Samuel,Jenkins,Male,62,38.4921,-85.4524,285000,1,1
184.86.36.20-10.42.0.151-443-33700-6,10-09-21,3600000000000000.0,EaseMyTrip,entertainment,140.983193,David,Everett,Male,62,41.0001,-78.2357,744000,0,0
10.42.0.151-10.42.0.1-32693-53-17,22-02-21,6010000000000000.0,Dynamic Currency Conversion,shopping_net,622.757696,Erin,Chavez,Female,74,39.5994,-105.0044,700000,1,1
10.42.0.151-10.42.0.1-3294-53-17,30-03-21,4810000000000.0,Single Currency Card,kids_pets,175.510344,Sabrina,Nolan,Female,63,32.4204,-85.0796,318989,0,0
157.240.2.25-10.42.0.211-443-33395-6,27-10-22,346000000000000.0,EaseMyTrip,food_dining,2161.428274,Donna,Moreno,Female,71,37.7418,-80.4626,556000,1,1
172.217.12.170-10.42.0.151-443-55364-6,27-06-22,568000000000.0,First Wealth Credit Card ,kids_pets,623.6569929999999,Dawn,Tucker,Female,54,29.7736,-95.4034,275000,0,0
10.42.0.211-52.0.244.7-44682-443-6,18-08-21,376000000000000.0,Elite Credit Card,entertainment,190.186542,Aaron,Murray,Male,63,39.7795,-93.3014,430000,1,1
10.42.0.151-104.196.63.49-41666-443-6,31-01-21,2310000000000000.0,Dynamic Currency Conversion,personal_care,8242.687678,Jeffrey,Rice,Male,73,40.6866,-92.6833,300000,0,0
172.217.10.234-10.42.0.151-443-59999-6,11-02-23,3520000000000000.0,Single Currency Card,entertainment,2503.4023399999996,William,Cannon,Male,64,37.5802,-80.5248,396450,0,0
202.77.129.150-10.42.0.211-80-52415-6,18-06-22,30100000000000.0,EaseMyTrip,health_fitness,121.523416,Jared,Velazquez,Male,60,40.4109,-74.238,225000,0,0
10.42.0.211-52.179.184.189-52171-443-6,09-08-21,4160000000000000.0,Dynamic Currency Conversion,personal_care,164.692136,Renee,Parrish,Female,70,34.7032,-98.9591,700000,0,0
10.42.0.151-106.11.93.16-51484-443-6,26-02-22,4.86e+18,Dynamic Currency Conversion,health_fitness,99.533735,Ashley,Cruz,Female,49,30.2385,-90.8435,260000,0,0
172.217.11.10-10.42.0.211-443-47732-6,11-09-21,639000000000.0,Single Currency Card,health_fitness,140.80945400000002,Kyle,Wilkinson,Male,68,42.9633,-94.7975,655000,1,1
180.149.136.194-10.42.0.211-80-57346-6,01-02-22,2290000000000000.0,EaseMyTrip,kids_pets,594.7566860000001,Jeff,Elliott,Male,49,33.9659,-80.9355,1185000,1,1
172.217.2.110-10.42.0.151-443-47851-6,22-12-22,676000000000.0,First Wealth Credit Card ,misc_pos,171.35718899999998,David,Wolfe,Male,49,42.4969,-83.2911,1550000,0,0
172.217.3.110-10.42.0.211-80-34952-6,18-06-22,2450000000000000.0,Elite Credit Card,health_fitness,1876.262988,Robert,Andrade,Male,56,47.0874,-93.9196,413800,0,0
172.217.10.142-10.42.0.211-443-51511-6,25-10-22,4.5e+18,Dynamic Currency Conversion,kids_pets,2074.581541,Stephanie,Cummings,Female,72,36.2201,-91.6421,950000,0,0
10.42.0.151-74.125.22.188-37263-5228-6,18-02-21,180000000000000.0,Single Currency Card,entertainment,968.941265,Becky,Mckinney,Female,64,30.7145,-88.0918,334990,1,1
172.217.6.202-10.42.0.151-443-43871-6,31-01-23,3580000000000000.0,EaseMyTrip,food_dining,2864.380327,Tyler,Small,Male,45,44.9437,-91.0294,2700000,1,1
180.149.135.239-10.42.0.211-80-58859-6,11-05-21,30400000000000.0,Dynamic Currency Conversion,travel,9827.045323,Jennifer,Garcia,Female,49,41.1949,-89.4409,1030000,1,1
216.58.219.202-10.42.0.151-443-38673-6,06-03-21,585000000000.0,EaseMyTrip,kids_pets,910.707525,Jessica,Jordan,Female,61,47.5196,-101.2332,1130000,1,1
182.22.24.124-10.42.0.211-443-33041-6,10-01-22,4610000000000000.0,Dynamic Currency Conversion,personal_care,312.560636,Brenda,Perez,Female,67,35.8985,-97.2607,556000,1,1
10.42.0.42-65.39.128.135-60002-80-6,12-08-21,30300000000000.0,Single Currency Card,home,312.343947,Erik,Patterson,Male,43,37.7175,-112.4777,360000,0,0
8.43.72.57-10.42.0.151-443-50441-6,02-01-21,3520000000000000.0,EaseMyTrip,shopping_pos,312.343947,Tracy,Conway,Female,61,41.1573,-88.0619,480000,1,1
172.217.10.42-10.42.0.151-443-49737-6,06-03-22,30600000000000.0,Dynamic Currency Conversion,food_dining,2906.110765,Gina,Morrison,Female,61,40.5891,-75.4645,324000,0,0
172.217.6.234-10.42.0.42-443-45539-6,12-02-22,630000000000.0,Single Currency Card,personal_care,389.138517,Meredith,Ayala,Female,76,45.67100000000001,-121.8686,1050000,0,0
239.255.255.250-10.42.0.1-1900-42378-17,20-05-21,4000000000000000.0,EaseMyTrip,kids_pets,312.343947,Chris,White,Male,74,33.3224,-86.9657,275000,0,0
10.42.0.151-119.146.74.33-38810-443-6,15-01-23,376000000000000.0,First Wealth Credit Card ,shopping_net,121.781205,Roberta,Mccarthy,Female,67,41.6611,-73.0449,180000,1,1
172.217.12.129-10.42.0.151-443-45110-6,21-09-22,341000000000000.0,Elite Credit Card,home,312.343947,Tyler,Wright,Male,69,42.5164,-82.9832,749000,0,0
10.42.0.151-112.80.248.187-40193-80-6,15-02-21,378000000000000.0,Dynamic Currency Conversion,food_dining,60.913577000000004,Nathan,Martinez,Male,52,44.8755,-88.1555,1600000,1,1
172.217.3.106-10.42.0.42-443-52748-6,02-09-21,213000000000000.0,Single Currency Card,personal_care,54.79166,Christopher,Miller,Male,49,34.9298,-84.9885,373500,0,0
10.42.0.211-10.42.0.1-29658-53-17,10-09-21,30300000000000.0,EaseMyTrip,kids_pets,2103.796148,John,Clarke,Male,73,36.802,-87.8286,770000,1,1
10.42.0.211-115.239.210.141-39805-80-6,27-01-23,4260000000000.0,Dynamic Currency Conversion,home,312.343947,Whitney,Gallagher,Female,36,37.2409,-82.7696,356000,0,0
182.22.25.124-10.42.0.211-443-54076-6,22-12-22,4920000000000000.0,Dynamic Currency Conversion,home,214.828158,Joel,Rivera,Male,45,35.8759,-96.9623,625000,1,1
10.42.0.1-10.42.0.42-53-62848-17,26-11-21,3530000000000000.0,Single Currency Card,home,1026.976,Shelby,Mitchell,Female,63,43.8065,-73.0882,494400,1,1
203.205.158.44-10.42.0.151-80-39958-6,03-03-21,4450000000000000.0,EaseMyTrip,shopping_pos,176.610605,Linda,Davis,Female,47,32.0758,-96.70100000000001,585000,0,0
10.42.0.211-10.42.0.1-11054-53-17,18-11-22,3550000000000000.0,First Wealth Credit Card ,kids_pets,1439.2308990000001,Sharon,Johnson,Female,53,48.34,-122.3456,926300,1,1
10.42.0.211-113.108.216.233-60382-80-6,17-03-22,4450000000000000.0,Elite Credit Card,shopping_pos,498.36541900000003,Donna,Davis,Female,67,34.5906,-95.38,600000,0,0
10.42.0.211-106.11.94.1-43425-443-6,24-04-22,4160000000000000.0,EaseMyTrip,misc_pos,2469.571326,Justin,Bell,Male,81,40.4308,-79.9205,430000,0,0
172.217.12.195-10.42.0.151-443-47206-6,19-06-22,4.54e+18,Dynamic Currency Conversion,kids_pets,108.319927,Nathan,Mendoza,Male,68,35.9866,-106.0654,307000,1,1
10.42.0.211-121.14.255.82-50050-80-6,24-12-22,3540000000000000.0,Single Currency Card,kids_pets,312.343947,Christian,Johns,Male,63,44.4477,-93.4252,604700,1,1
10.42.0.211-23.23.107.83-35402-443-6,20-06-22,4940000000000000.0,EaseMyTrip,health_fitness,1834.0315690000002,Michelle,Johnston,Female,64,26.4215,-99.0025,219900,0,0
10.42.0.151-47.89.69.198-42525-80-6,26-11-21,4640000000000.0,Dynamic Currency Conversion,food_dining,2760.115734,Melissa,Krause,Female,72,30.6576,-91.6264,270000,1,1
10.42.0.211-10.42.0.1-8769-53-17,07-12-21,30200000000000.0,Single Currency Card,home,136.639824,Danielle,Yu,Female,67,30.592,-97.2893,432000,0,0
172.217.12.174-10.42.0.211-443-46295-6,26-12-22,630000000000.0,EaseMyTrip,kids_pets,207.720441,Susan,Washington,Female,67,31.9571,-98.9656,300000,1,1
172.217.11.3-10.42.0.151-443-53921-6,23-05-21,3590000000000000.0,First Wealth Credit Card ,health_fitness,99.372848,Brian,Williams,Male,62,28.5697,-80.8191,361000,0,0
172.217.3.106-10.42.0.211-443-52635-6,18-03-21,38100000000000.0,Elite Credit Card,misc_pos,2439.136113,Anna,Logan,Female,64,30.33,-95.0202,249950,1,1
203.130.53.126-10.42.0.42-80-46441-6,20-06-21,6010000000000000.0,EaseMyTrip,food_dining,147.049952,Rebecca,Erickson,Female,80,34.2651,-77.867,320000,0,0
172.217.10.238-10.42.0.42-443-44438-6,03-06-22,3590000000000000.0,Dynamic Currency Conversion,travel,709.2070160000001,Laura,Casey,Female,31,44.4971,-67.9503,305000,0,0
172.217.12.202-10.42.0.151-443-33580-6,24-05-22,4.6e+18,EaseMyTrip,personal_care,2167.446204,Mary,Myers,Female,63,36.3846,-89.4649,503000,0,0
10.42.0.211-113.108.216.233-33389-80-6,26-07-21,4680000000000000.0,Dynamic Currency Conversion,shopping_net,312.343947,Tammy,Davis,Female,56,39.9148,-80.73100000000001,235750,0,0
10.42.0.151-52.40.87.241-43096-443-6,08-07-21,3550000000000000.0,Single Currency Card,food_dining,630.00413,Sharon,Johnson,Female,63,48.34,-122.3456,657000,0,0
183.79.249.252-10.42.0.42-443-39953-6,21-04-22,3600000000000000.0,EaseMyTrip,shopping_pos,1412.648089,Derrick,Flores,Male,50,35.2229,-89.5518,385000,1,1
157.240.2.25-10.42.0.42-443-59424-6,13-11-21,180000000000000.0,Dynamic Currency Conversion,personal_care,3406.258999,William,Hunter,Male,67,41.5177,-78.2536,389950,1,1
10.42.0.151-23.195.146.200-34276-443-6,15-10-21,377000000000000.0,Single Currency Card,home,2000.990921,Richard,Vance,Male,78,31.1569,-94.3871,150000,0,0
10.42.0.211-10.42.0.1-65352-53-17,06-03-23,3500000000000000.0,EaseMyTrip,shopping_net,84.697292,Lori,Bishop,Female,69,33.8155,-112.1202,254500,0,0
10.42.0.211-10.42.0.1-62361-53-17,07-04-22,6520000000000000.0,First Wealth Credit Card ,kids_pets,1086.428906,James,Reese,Male,79,31.6453,-90.1801,555000,0,0
172.217.6.195-10.42.0.42-443-54126-6,19-12-22,180000000000000.0,Elite Credit Card,shopping_net,2894.077159,Charles,Robles,Male,69,27.7898,-82.7243,1075000,1,1
10.42.0.151-13.32.250.220-50465-443-6,08-02-23,5500000000000000.0,Dynamic Currency Conversion,kids_pets,312.343947,Wayne,Payne,Male,79,41.1464,-81.5107,245000,1,1
10.42.0.211-87.240.165.80-43859-80-6,03-04-22,4.31e+18,Single Currency Card,home,312.343947,Phillip,Delacruz,Male,71,40.7692,-103.0968,319950,1,1
172.217.6.195-10.42.0.151-443-50768-6,21-11-22,6010000000000000.0,EaseMyTrip,entertainment,3572.279251,Lauren,Butler,Female,68,36.0557,-96.0602,337000,1,1
10.42.0.211-112.80.248.187-33732-80-6,14-10-22,4.38e+18,Dynamic Currency Conversion,entertainment,173.63200600000002,Thomas,Jenkins,Male,66,37.7878,-122.1884,492000,1,1
172.217.12.206-10.42.0.151-443-56894-6,06-07-21,213000000000000.0,Dynamic Currency Conversion,travel,2600.875721,Adam,Santos,Male,81,34.1556,-118.2322,1170000,0,0
172.217.10.110-10.42.0.151-443-42217-6,26-09-21,30500000000000.0,Single Currency Card,entertainment,185.091037,Tamara,Martinez,Female,66,36.7154,-89.6287,348580,1,1
172.217.10.110-10.42.0.151-443-45567-6,25-07-22,4190000000000000.0,EaseMyTrip,travel,709.610053,Jennifer,Spencer,Female,83,39.6251,-82.7552,180000,0,0
140.205.62.20-10.42.0.211-80-35206-6,09-06-21,4730000000000000.0,First Wealth Credit Card ,home,615.92402,Alex,White,Male,68,41.1437,-72.2879,400000,0,0
203.205.158.63-10.42.0.151-80-55148-6,20-09-22,30200000000000.0,Elite Credit Card,kids_pets,184.524376,Danielle,Yu,Female,67,30.592,-97.2893,295000,0,0
10.42.0.211-119.146.74.33-35185-443-6,18-03-21,3600000000000000.0,EaseMyTrip,food_dining,18621.01331,Dustin,Roberts,Male,76,35.0583,-79.008,910000,1,1
208.185.50.75-10.42.0.211-443-53101-6,23-01-21,371000000000000.0,Dynamic Currency Conversion,health_fitness,689.118919,Sarah,Clark,Female,60,36.2017,-81.1286,1150000,0,0
192.229.173.173-10.42.0.42-80-37391-6,22-09-21,3500000000000000.0,Single Currency Card,kids_pets,509.384182,Scott,Martin,Male,75,39.0298,-77.0793,431500,1,1
239.255.255.250-10.42.0.151-1900-60766-17,26-06-22,3580000000000000.0,EaseMyTrip,food_dining,172.959728,Debbie,Hughes,Female,74,41.0935,-81.0425,180000,0,0
192.229.173.173-10.42.0.211-80-38564-6,10-05-22,3580000000000000.0,Dynamic Currency Conversion,kids_pets,312.343947,Rachel,Villarreal,Female,70,34.3396,-89.5736,677000,1,1
172.217.6.227-10.42.0.211-443-55437-6,27-06-22,376000000000000.0,Single Currency Card,health_fitness,3068.125648,Christopher,Patterson,Male,68,38.6476,-78.7717,1180500,0,0
172.217.12.141-10.42.0.151-443-35941-6,04-05-22,4840000000000000.0,EaseMyTrip,shopping_net,546.439139,Susan,Hardy,Female,70,46.0062,-86.2555,635700,1,1
10.42.0.211-47.89.69.237-50390-443-6,15-12-21,345000000000000.0,First Wealth Credit Card ,home,819.682666,Joanna,Hudson,Female,71,27.4703,-81.4872,482000,1,1
10.42.0.211-23.217.155.120-55448-80-6,09-06-21,4930000000000000.0,Elite Credit Card,food_dining,312.343947,Richard,Carter,Male,62,44.9673,-93.2828,168000,0,0
10.42.0.42-52.84.29.134-41417-443-6,02-12-21,3520000000000000.0,Dynamic Currency Conversion,shopping_pos,194.324456,Dorothy,Thomas,Female,73,39.1657,-84.23299999999999,805000,1,1
202.77.129.54-10.42.0.211-80-49358-6,10-12-21,3540000000000000.0,Single Currency Card,food_dining,992.652486,Christie,Mendoza,Female,57,47.4852,-120.4158,398000,0,0
10.42.0.211-87.240.165.91-55676-443-6,31-07-21,676000000000.0,EaseMyTrip,home,468.19673200000005,Jacqueline,Caldwell,Female,54,42.1782,-83.2461,665000,0,0
219.142.78.217-10.42.0.211-80-48861-6,09-10-22,30100000000000.0,Dynamic Currency Conversion,health_fitness,12854.9397,Stephanie,Middleton,Female,79,41.0001,-78.2357,592500,1,1
182.22.24.124-10.42.0.42-443-45883-6,03-02-21,4300000000000000.0,Dynamic Currency Conversion,home,329.29648,Daniel,Cain,Male,65,42.8511,-93.62,940000,1,1
